iter	RMSE
0	76.349933
1	74.10948988
2	71.89176498
3	69.81829305
4	67.82320416
5	66.06186233
6	64.2836167
7	62.71601295
8	61.25024989
9	59.84741139
10	58.53358256
11	57.31736934
12	55.94645741
13	54.79290897
14	53.60548075
15	52.60456141
16	51.63221277
17	50.78839571
18	49.8869546
19	49.07790621
20	48.30122317
21	47.62336679
22	47.03933097
23	46.31725258
24	45.65038712
25	45.07863667
26	44.56113808
27	44.02946097
28	43.57020247
29	43.15399216
30	42.84083086
31	42.47622067
32	42.17003936
33	41.85910176
34	41.51409689
35	41.21592631
36	40.92423339
37	40.63077584
38	40.34835481
39	40.07064958
40	39.80098901
41	39.56870896
42	39.35432702
43	39.17316602
44	38.99623602
45	38.80867949
46	38.64386937
47	38.50649629
48	38.30152229
49	38.05838348
50	37.92707823
51	37.76221979
52	37.64803267
53	37.51788775
54	37.37551759
55	37.1727134
56	37.04971099
57	36.97156264
58	36.88777952
59	36.79784156
60	36.74405243
61	36.67977618
62	36.56952978
63	36.47856348
64	36.40101244
65	36.32501672
66	36.27828567
67	36.19146391
68	36.13603
69	36.04825166
70	35.98507476
71	35.88502682
72	35.81654605
73	35.74638072
74	35.67782972
75	35.61427121
76	35.54765733
77	35.50794685
78	35.45905878
79	35.39943081
80	35.3563546
81	35.30908629
82	35.22860685
83	35.17535472
84	35.14584905
85	35.09248317
86	35.03970639
87	34.99829642
88	34.93493716
89	34.86286075
90	34.8242795
91	34.74549333
92	34.6933543
93	34.65540141
94	34.61483252
95	34.57957035
96	34.54638237
97	34.50758441
98	34.40919863
99	34.36775947
100	34.31589912
101	34.28593291
102	34.25135301
103	34.17623855
104	34.13478458
105	34.04642021
106	33.99984583
107	33.94124659
108	33.90342322
109	33.83649071
110	33.7945126
111	33.75920795
112	33.71382233
113	33.69141648
114	33.62253069
115	33.5959771
116	33.55967854
117	33.52246776
118	33.46780005
119	33.42495668
120	33.38956917
121	33.36543609
122	33.34334699
123	33.28367319
124	33.24888499
125	33.22534478
126	33.19678713
127	33.18191933
128	33.14472145
129	33.04311828
130	33.01257009
131	32.97295866
132	32.950741
133	32.92907592
134	32.87806735
135	32.85551704
136	32.80468573
137	32.76871022
138	32.6952925
139	32.66841968
140	32.65455714
141	32.61184735
142	32.57621487
143	32.54603667
144	32.50743689
145	32.46165062
146	32.40254945
147	32.37718289
148	32.35143049
149	32.32940822
150	32.30209994
151	32.27725576
152	32.24624144
153	32.21322598
154	32.15805555
155	32.12714647
156	32.09094041
157	32.06420771
158	32.01881059
159	31.99403452
160	31.9441422
161	31.91160426
162	31.8847698
163	31.84779595
164	31.80531972
165	31.78438612
166	31.76165358
167	31.71126465
168	31.68328329
169	31.66537365
170	31.65384001
171	31.60795951
172	31.58654661
173	31.550714
174	31.51689939
175	31.46445841
176	31.43663025
177	31.38871758
178	31.34320983
179	31.31886827
180	31.3068422
181	31.27736911
182	31.23987571
183	31.19939113
184	31.14843529
185	31.13018311
186	31.09097304
187	31.07407543
188	30.9945659
189	30.97258739
190	30.95101085
191	30.90690547
192	30.86312649
193	30.82960615
194	30.79579643
195	30.76114024
196	30.7226714
197	30.69804445
198	30.67000993
199	30.6374738
